rundate,this_period,last_period,airport_cluster,rpt_apt_grp_cd,rpt_apt_grp_name,rpt_apt_name,total_pax_tp,total_pax_lp,total_pax_pc,term_pax_tp,term_pax_lp,term_pax_pc,tran_pax_tp,tran_pax_lp,tran_pax_pc
17/03/2016 11:40,2015,2014,1,1,London Area Airports,GATWICK,40269087,38103667,5.682970047,40260068,38093930,5.68630743,9019,9737,-7.373934269
17/03/2016 11:40,2015,2014,1,1,London Area Airports,HEATHROW,74985748,73405330,2.153001785,74953981,73371096,2.15736866,31767,34234,-7.206285954
17/03/2016 11:40,2015,2014,1,1,London Area Airports,LONDON CITY,4319301,3647824,18.40760422,4319301,3647824,18.40760422,0,0,
17/03/2016 11:40,2015,2014,1,1,London Area Airports,LUTON,12263505,10484938,16.9630661,12262581,10481501,16.99260521,924,3437,-73.11608887
17/03/2016 11:40,2015,2014,1,1,London Area Airports,SOUTHEND,900648,1102358,-18.29804802,900634,1102260,-18.29205513,14,98,-85.7142868
17/03/2016 11:40,2015,2014,1,1,London Area Airports,STANSTED,22519178,19965093,12.79275322,22513443,19958047,12.80383778,5735,7046,-18.60630226
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,ABERDEEN,3469525,3723662,-6.824921131,3469328,3723411,-6.823931217,197,251,-21.51394463
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BARRA,10658,10521,1.30215764,10658,10521,1.30215764,0,0,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BELFAST CITY (GEORGE BEST),2692713,2555145,5.383960724,2692713,2555111,5.385363102,0,34,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BELFAST INTERNATIONAL,4391292,4033954,8.85825634,4389861,4031685,8.884027481,1431,2269,-36.9325676
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BENBECULA,32146,31213,2.98913908,32125,31190,2.997755766,21,23,-8.695652008
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BIGGIN HILL,644,497,29.57746506,644,497,29.57746506,0,0,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BIRMINGHAM,10187122,9705955,4.957440853,10180059,9698488,4.965423584,7063,7467,-5.41047287
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BLACKPOOL,33494,223998,-85.04718781,33494,223998,-85.04718781,0,0,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BOURNEMOUTH,706776,661584,6.830878735,705433,660374,6.823254585,1343,1210,10.99173546
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,BRISTOL,6786790,6339805,7.050453663,6781195,6333058,7.076155186,5595,6747,-17.07425499
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,CAMBRIDGE,5799,20663,-71.93534088,5799,20663,-71.93534088,0,0,
17/03/2016 11:40,2015,2014,1,3,Other UK Airports,CAMPBELTOWN,8511,9365,-9.119060516,8288,9331,-11.17779446,223,34,555.8823242
